time,asset2_depthofdischarge
5431,0.00757833333333341
5440,0.00752333333333341
5441,0.00746833333333341
5447,0.00739333333333341
5461,0.00731833333333341
5470,0.00726333333333341
5471,0.00720833333333341
5477,0.00713333333333341
5491,0.00705833333333341
5500,0.00700333333333341
5501,0.00694833333333341
5507,0.00687333333333341
5521,0.00679833333333341
5530,0.00674333333333341
5531,0.00668833333333341
5537,0.00661333333333341
5551,0.0065383333333334
5560,0.0064833333333334
5561,0.0064283333333334
5567,0.0063533333333334
5581,0.0062783333333334
5590,0.0062233333333334
5591,0.0061683333333334
5597,0.0060933333333334
5611,0.0060183333333334
5620,0.0059633333333334
5621,0.0059083333333334
5627,0.0058333333333334
5641,0.0057583333333334
5650,0.0057033333333334
5651,0.0056483333333334
5655,0.0055733333333334
5671,0.0054983333333334
5680,0.0054433333333334
5681,0.0053883333333334
5687,0.0053133333333334
5701,0.0052383333333334
5710,0.0051833333333334
5711,0.0051283333333334
5717,0.0050533333333334
5731,0.0049783333333334
5740,0.0049233333333334
5741,0.00486833333333339
5747,0.00479333333333339
5761,0.00471833333333339
5770,0.00466333333333339
5771,0.00460833333333339
5777,0.00453333333333339
5791,0.00445833333333339
5800,0.00440333333333339
5801,0.00434833333333339
5807,0.00427333333333339
5821,0.00419833333333339
5830,0.00414333333333339
5831,0.00408833333333339
5837,0.00401333333333339
5851,0.00393833333333339
5860,0.00388333333333339
5861,0.00382833333333339
5863,0.00375333333333339
5881,0.00367833333333339
5890,0.00362333333333339
5891,0.00356833333333339
5897,0.00349333333333339
5911,0.00341833333333339
5920,0.00336333333333339
5921,0.00330833333333339
5927,0.00323333333333339
5941,0.00315833333333339
5950,0.00310333333333339
5951,0.00304833333333339
5953,0.00297333333333339
5954,0.00288833333333339
6000,0.00288833333333339
